date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,+65200,+65900,-62200,-62400,-2100,-3.26,228063,14465,0.44,+41833,--48758,+9024,--3958,+6567,+24.45,+24.45,+24.45,+9024,--48758,+41833,0.44
20241203,+62900,+64800,+62900,+64400,+2000,+3.21,148652,9535,0.46,--35513,+4776,+30368,+18338,+29652,+24.52,+24.52,+24.52,+30368,+4776,--35513,0.46
20241204,-63000,64400,-62000,-62900,-1500,-2.33,141777,8905,0.47,+11182,--17241,+5827,--7432,+4003,+24.54,+24.54,+24.54,+5827,--17241,+11182,0.47
20241205,-62700,62900,-60100,-60200,-2700,-4.29,144741,8828,0.47,+39127,--18995,--21264,--5738,--21963,+24.48,+24.48,+24.48,--21264,--18995,+39127,0.47
20241206,+60300,+61200,-58500,-59700,-500,-0.83,153830,9170,0.48,--17737,--6218,+20011,+4896,+34806,+24.53,+24.53,+24.53,+20011,--6218,--17737,0.48
20241209,-59300,-59300,-56400,-56400,-3300,-5.53,137956,7866,0.48,--12855,+359,+11663,+11157,+13639,+24.56,+24.56,+24.56,+11663,+359,--12855,0.48
20241210,+57300,+62700,+57300,+62300,+5900,+10.46,257562,15823,0.48,--92390,+61717,+31334,+5417,+35525,+24.62,+24.62,+24.62,+31334,+61717,--92390,0.48
20241211,-62100,+63200,-61800,+62800,+500,+0.80,87574,5473,0.48,--4989,+3530,+1535,+13870,+4809,+24.63,+24.63,+24.63,+1535,+3530,--4989,0.48
20241212,+63200,+65000,-60900,+65000,+2200,+3.50,212497,13556,0.45,--24293,+71468,--46897,--30050,+15372,+24.52,+24.52,+24.52,--46897,+71468,--24293,0.45
20241213,-64300,65000,-62600,-62900,-2100,-3.23,95881,6092,0.44,+33840,--21931,--13334,--2909,--2104,+24.49,+24.49,+24.49,--13334,--21931,+33840,0.44
20241216,+63600,+66400,-62800,+65300,+2400,+3.82,174759,11350,0.43,--49050,+26108,+23228,+3944,+23944,+24.54,+24.54,+24.54,+23228,+26108,--49050,0.43
20241217,-64600,+65400,-63100,-63100,-2200,-3.37,94815,6050,0.45,+36973,--14910,--21607,--18563,--19863,+24.48,+24.48,+24.48,--21607,--14910,+36973,0.45
20241218,+63800,+65000,+63700,+64400,+1300,+2.06,68573,4416,0.44,--7913,--4138,+10907,+3196,+10827,+24.51,+24.51,+24.51,+10907,--4138,--7913,0.44
20241219,-62700,+66400,-61700,+65100,+700,+1.09,132020,8547,0.46,--23358,+29879,--8093,--6041,--7510,+24.49,+24.49,+24.49,--8093,+29879,--23358,0.46
20241220,-64700,-64700,-60300,-62600,-2500,-3.84,157491,9747,0.45,+56409,--44325,--27907,+6831,--17847,+24.42,+24.42,+24.42,--27907,--44325,+56409,0.45
20241223,+62900,+63500,-61100,+63300,+700,+1.12,85677,5362,0.44,--19901,+15063,--4845,+3224,+7180,+24.41,+24.41,+24.41,--4845,+15063,--19901,0.44
20241224,+64000,+64200,-61500,-61600,-1700,-2.69,102024,6349,0.45,+47847,--21136,--23777,+8704,+3771,+24.36,+24.36,+24.36,--23777,--21136,+47847,0.45
20241226,+62100,+63100,-60500,-61000,-600,-0.97,72602,4448,0.44,+17790,--19546,+8479,--3836,+2868,+24.38,+24.38,+24.38,+8479,--19546,+17790,0.44
20241227,-60400,+61200,-59800,-60500,-500,-0.82,58623,3540,0.47,+8219,--5902,--1297,+7063,--3771,+24.37,+24.37,+24.37,--1297,--5902,+8219,0.47
20241230,+61000,+61500,-59800,-59800,-700,-1.16,54678,3307,0.49,+8901,--9318,+2990,--12215,+4180,+24.38,+24.38,+24.38,+2990,--9318,+8901,0.49
20250102,-59400,59800,-57300,-57800,-2000,-3.34,93434,5397,0.49,+28845,--28467,+4661,--448,--2543,+24.39,+24.39,+24.39,+4661,--28467,+28845,0.49
20250103,-57600,+61000,-57600,+59900,+2100,+3.63,118460,7115,0.49,--23135,--21677,+44829,+16602,+44084,+24.50,+24.50,+24.50,+44829,--21677,--23135,0.49
20250106,+60000,+60500,-59000,+60100,+200,+0.33,73630,4404,0.50,+8412,--13392,+4955,+913,+4154,+24.51,+24.51,+24.51,+4955,--13392,+8412,0.50
20250107,60100,+61500,-59900,+60300,+200,+0.33,71872,4358,0.49,--9375,+3725,+5650,--1428,+7835,+24.52,+24.52,+24.52,+5650,+3725,--9375,0.49
20250108,-59800,+61200,-59300,-60100,-200,-0.33,128800,7760,0.50,+8502,--14196,+5627,+6863,+8075,+24.53,+24.53,+24.53,+5627,--14196,+8502,0.50
20250109,60100,60100,-58400,-60000,-100,-0.17,156730,9283,0.51,+39946,+13089,+1011,--21806,--26414,+24.54,+24.54,+24.54,+1011,+13089,+39946,0.51
20250110,-59700,-59700,-58400,-58600,-1400,-2.33,97677,5738,0.50,+53799,--46403,--7559,--4700,--19727,+24.52,+24.52,+24.52,--7559,--46403,+53799,0.50
20250113,-58100,58600,-56900,-57100,-1500,-2.56,112306,6432,0.51,+40209,--21655,--18951,--13623,--18513,+24.47,+24.47,+24.47,--18951,--21655,+40209,0.51
20250114,+57300,+58600,+57300,+58000,+900,+1.58,71948,4164,0.55,--18069,+2771,+14482,+5047,+13381,+24.51,+24.51,+24.51,+14482,+2771,--18069,0.55
20250115,+58200,+59200,-57900,58000,0,0.00,78418,4577,0.54,+16555,--16185,--2344,--3936,--5381,+24.50,+24.50,+24.50,--2344,--16185,+16555,0.54
20250116,+58400,+59700,-57400,-57900,-100,-0.17,78125,4532,0.54,+16579,--11206,--5524,--2232,--7398,+24.49,+24.49,+24.49,--5524,--11206,+16579,0.54
20250117,-57600,+58500,-57300,-57500,-400,-0.69,54950,3169,0.52,+9730,--12914,+1069,--78,--4178,+24.49,+24.49,+24.49,+1069,--12914,+9730,0.52
20250120,+57600,+59300,+57600,+58300,+800,+1.39,110831,6468,0.53,--20004,--19848,+39790,+18834,+35021,+24.58,+24.58,+24.58,+39790,--19848,--20004,0.53
20250121,+58800,+61100,-57800,+58700,+400,+0.69,172528,10212,0.53,+5301,+1358,--6516,--3685,--5020,+24.57,+24.57,+24.57,--6516,+1358,+5301,0.53
20250122,+59300,+59400,-57800,+59100,+400,+0.68,82721,4856,0.53,--17091,+5562,+11873,+2401,+11647,+24.60,+24.60,+24.60,+11873,+5562,--17091,0.53
20250123,+59500,+59500,-56700,-56700,-2400,-4.06,156890,8988,0.54,+79629,--32543,--48508,--22184,--46709,+24.49,+24.49,+24.49,--48508,--32543,+79629,0.54
20250124,+57000,+57200,-55900,+56900,+200,+0.35,78736,4449,0.54,--543,--13508,+16060,+10735,+10402,+24.52,+24.52,+24.52,+16060,--13508,--543,0.54
20250131,+57600,+57600,-56000,-56800,-100,-0.18,95975,5432,0.56,--2682,--1169,+4144,--2363,--1084,+24.53,+24.53,+24.53,+4144,--1169,--2682,0.56
20250203,-56000,-56100,-53800,-54100,-2700,-4.75,111103,6034,0.56,+15824,--12030,--5369,+3699,--9176,+24.52,+24.52,+24.52,--5369,--12030,+15824,0.56
20250204,+54200,+55000,-53400,-53500,-600,-1.11,90419,4890,0.56,+15522,--8006,--11162,--3879,--8592,+24.50,+24.50,+24.50,--11162,--8006,+15522,0.56
20250205,+53700,+56400,+53600,+54700,+1200,+2.24,115163,6395,0.54,--32750,+3418,+29842,+9108,+32999,+24.56,+24.56,+24.56,+29842,+3418,--32750,0.54
20250206,+55000,+55600,-54200,+55600,+900,+1.65,49247,2705,0.54,+3084,+4418,--7498,--9270,--7269,+24.54,+24.54,+24.54,--7498,+4418,+3084,0.54
20250207,55600,+56400,-54500,-54500,-1100,-1.98,53446,2947,0.53,+21262,--5804,--15542,--8591,--19185,+24.51,+24.51,+24.51,--15542,--5804,+21262,0.53
20250210,-54000,54500,-51800,-53600,-900,-1.65,169790,9025,0.53,+40443,--23076,--15835,--13051,--16190,+24.47,+24.47,+24.47,--15835,--23076,+40443,0.53
20250211,+54100,+55000,-52900,+54300,+700,+1.31,101480,5483,0.54,--1906,--17542,+18388,+12774,+18670,+24.51,+24.51,+24.51,+18388,--17542,--1906,0.54
20250212,-54000,+54900,-53200,-53400,-900,-1.66,130013,7019,0.55,--6913,+15163,--10344,--32826,--14529,+24.49,+24.49,+24.49,--10344,+15163,--6913,0.55
20250213,+53800,+59900,53400,+59200,+5800,+10.86,588291,34230,0.54,--118548,+41753,+81477,+22273,+102798,+24.68,+24.68,+24.68,+81477,+41753,--118548,0.54
